,Job_number,vCPUs,Provider,Category,Score,Value
0,1,2.0,aws,General,-0.627315513345,-6.53453659734375
1,2,2.0,google,CPU,-0.467635311497,-6.595702559901269
2,3,2.0,aws,Memory,-0.60902929548,-4.8335658371428565
3,4,2.0,google,General,-0.481524251914,-5.068676335936842
4,5,2.0,google,CPU,-0.475057970094,-6.700394500620592
5,6,4.0,aws,Memory,-0.652327566961,-2.5886014561944446
6,7,8.0,aws,General,-0.648407986981,-1.688562466096354
7,8,2.0,aws,General,-0.607880157686,-6.3320849758958335
8,9,2.0,aws,General,-0.615055144195,-6.406824418697916
9,10,2.0,google,General,-0.49027770040299995,-5.160817898978947
10,11,8.0,aws,CPU,-0.728189207433,-2.141732963038235
11,12,8.0,google,CPU,-0.497048043809,-1.7526376721050774
12,13,2.0,google,Memory,-0.4767858050420001,-4.026907137179054
