,Job_number,vCPUs,Provider,Category,Price,Score,Value,Timestamp
0,1,2.0,aws,General,0.096,-0.613575614155,-6.391412647447916,20190717203927
1,2,4.0,aws,Memory,0.252,-0.657091833066,-2.6075072740714287,20190717204258
2,3,2.0,google,General,0.095,-0.47615249320099995,-5.012131507378947,20190717204546
3,4,2.0,aws,CPU,0.085,-0.68923423509,-8.108638059882352,20190717204752
4,5,2.0,aws,CPU,0.085,-0.6826288547760001,-8.030927703247059,20190717205036
5,6,8.0,aws,CPU,0.34,-0.754289433996,-2.218498335282353,20190717205349
6,7,2.0,aws,CPU,0.085,-0.679110370205,-7.9895337671176465,20190717205621
7,8,2.0,google,CPU,0.0709,-0.481406386542,-6.789934930070522,20190717205918
8,9,2.0,aws,CPU,0.085,-0.686222791759,-8.073209314811765,20190717210128
9,10,2.0,aws,CPU,0.085,-0.686979120384,-8.082107298635293,20190717210413
10,11,2.0,aws,CPU,0.085,-0.687747269679,-8.091144349164706,20190717210719
