,Job_number,vCPUs,Provider,Category,Score,Value
0,1,2.0,aws,CPU,-0.697519540577,-8.206112242082353
1,2,2.0,aws,CPU,-0.686921584009,-8.081430400105882
2,3,4.0,aws,Memory,-0.654214016164,-2.596087365730159
3,4,2.0,aws,CPU,-0.6872216663649999,-8.084960780764705
4,5,8.0,google,General,-0.512852262213,-1.3496112163499998
5,6,2.0,aws,General,-0.641706105109,-6.684438594885416
6,7,2.0,google,General,-0.47961521540599994,-5.0485812147999996
7,8,8.0,aws,CPU,-0.751192788367,-2.209390554020588
8,9,2.0,google,CPU,-0.475919646207,-6.712547901368124
9,10,2.0,google,General,-0.48507554055,-5.1060583215789475
