,instance,score,cpu,type,provider,price,value,type,filter
0,n1-standard-2,0.487694307142,[2],['General'],['google'],0.095,5.133624285705263,vod,house
1,r5.xlarge,0.659796624274,[4],['Memory'],['aws'],0.252,2.618240572515873,vod,house
2,c5.2xlarge,0.740014413095,[8],['CPU'],['aws'],0.34,2.1765129796911764,vod,house
3,m5.large,0.611022057106,[2],['General'],['aws'],0.096,6.364813094854166,vod,house
4,n1-standard-2,0.489489455003,[2],['General'],['google'],0.095,5.152520578978947,vod,house
5,r5.xlarge,0.652408294835,[4],['Memory'],['aws'],0.252,2.5889218049007936,vod,house
6,n1-highcpu-2,0.490405915351,[2],['CPU'],['google'],0.0709,6.916867635416078,vod,house
7,m5.2xlarge,0.663435431964,[8],['General'],['aws'],0.384,1.72769643740625,vod,house
8,n1-standard-8,0.538908540491,[8],['General'],['google'],0.38,1.4181803697131579,vod,house
9,n1-highcpu-8,0.501587884974,[8],['CPU'],['google'],0.2836,1.7686455746614949,vod,house
10,m5.large,0.608366025065,[2],['General'],['aws'],0.096,6.337146094427084,vod,house
11,n1-highmem-2,0.48073791774900004,[2],['Memory'],['google'],0.1184,4.060286467474662,vod,house
12,c5.large,0.692004356688,[2],['CPU'],['aws'],0.085,8.141227725741176,vod,house
13,n1-highcpu-2,0.484784258268,[2],['CPU'],['google'],0.0709,6.837577690662905,vod,house
14,n1-highcpu-2,0.47160717604200003,[2],['CPU'],['google'],0.0709,6.65172321638928,vod,house
15,n1-standard-2,0.483716084762,[2],['General'],['google'],0.095,5.091748260652632,vod,house
16,c5.large,0.693929507562,[2],['CPU'],['aws'],0.085,8.163876559552941,vod,house
17,m5.large,0.608562559915,[2],['General'],['aws'],0.096,6.339193332447916,vod,house
18,m5.xlarge,0.64320028906,[4],['General'],['aws'],0.192,3.3500015055208334,vod,house
19,c5.large,0.684786536075,[2],['CPU'],['aws'],0.085,8.056312189117646,vod,house
20,c5.large,0.683473419373,[2],['CPU'],['aws'],0.085,8.040863757329411,vod,house
21,c5.large,0.6920507290839999,[2],['CPU'],['aws'],0.085,8.141773283341175,vod,house
22,m5.large,0.605350175795,[2],['General'],['aws'],0.096,6.305730997864583,vod,house
23,c5.large,0.684930249437,[2],['CPU'],['aws'],0.085,8.05800293455294,vod,house
24,c5.large,0.68253947784,[2],['CPU'],['aws'],0.085,8.029876209882353,vod,house
25,c5.large,0.687899207396,[2],['CPU'],['aws'],0.085,8.092931851717646,vod,house
26,c5.2xlarge,0.724924473677,[8],['CPU'],['aws'],0.34,2.132130804932353,vod,house
27,c5.large,0.681807682234,[2],['CPU'],['aws'],0.085,8.021266849811765,vod,house
28,c5.large,0.696067252503,[2],['CPU'],['aws'],0.085,8.189026500035293,vod,house
29,r5.xlarge,0.65598274614,[4],['Memory'],['aws'],0.252,2.60310613547619,vod,house
30,n1-standard-2,0.47373009726399995,[2],['General'],['google'],0.095,4.986632602778947,vod,house
31,c5.2xlarge,0.724576306375,[8],['CPU'],['aws'],0.34,2.1311067834558823,vod,house
32,n1-standard-2,0.49566448863,[2],['General'],['google'],0.095,5.217520932947369,vod,house
33,n1-standard-2,0.484009888509,[2],['General'],['google'],0.095,5.0948409316736845,vod,house
34,r5.xlarge,0.648544025408,[4],['Memory'],['aws'],0.252,2.5735874024126986,vod,house
35,n1-standard-4,0.52491062779,[4],['General'],['google'],0.19,2.7626875146842105,vod,house
36,n1-standard-2,0.46756085245100004,[2],['General'],['google'],0.095,4.921693183694737,vod,house
37,n1-highcpu-2,0.484417855414,[2],['CPU'],['google'],0.0709,6.832409808377997,vod,house
38,n1-standard-2,0.484995730802,[2],['General'],['google'],0.095,5.105218218968421,vod,house
39,n1-highmem-2,0.487310041784,[2],['Memory'],['google'],0.1184,4.115794271824324,vod,house
40,n1-highcpu-2,0.47648636452,[2],['CPU'],['google'],0.0709,6.7205411074753165,vod,house
